image,question,answer
image3021,Is squamous cell carcinoma composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,yes
image3021,What is composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,squamous cell carcinoma
image3021,Is low magnification composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,no
image3022,Is section from margin of amoebic ulcer mild epithelial hyperplasia in terminal ducts?,no
image3022,Is there mild epithelial hyperplasia in terminal ducts?,yes
image3022,What is there in terminal ducts?,mild epithelial hyperplasia
image3023,Is a partly formed unerupted tooth also seen in the wall?,yes
image3023,What is also seen in the wall?,a partly formed unerupted tooth
image3023,Are collections of histiocytes conspicuously absent?,no
image3023,Are inflammatory changes conspicuously absent?,yes
image3023,Where is a partly formed unerupted tooth seen in?,wall
image3023,Is onsumption of tobacco in india also seen in the wall?,no
image3023,What are conspicuously absent?,inflammatory changes
image3024,What is composed of nests of basaloid cells infiltrating a fibrotic stroma?,the tumor
image3024,Is tumor composed of nests of basaloid cells infiltrating a fibrotic stroma?,yes
image3024,What is a highly characteristic artifact of sectioning?,the cleft between the tumor cells and the stroma
image3024,What is the cleft between the tumor cells and the stroma?,a highly characteristic artifact of sectioning
image3024,Is sectioning of ovary composed of nests of basaloid cells infiltrating a fibrotic stroma?,no
image3024,Is acute contusions a highly characteristic artifact of sectioning?,no
image3024,What is tumor composed of?,nests of basaloid cells
image3024,Is the cleft between the tumor cells and the stroma a highly characteristic artifact of sectioning?,yes
image3025,"Is the nuclei of affected tubules soft, lobulated, yellowish and greasy?",no
image3026,What does the centrilobular zone show?,marked degeneration and necrosis of hepatocytes accompanied by haemorrhage
image3026,Does the centrilobular zone show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,yes
image3026,What shows marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,centrilobular zone
image3026,Does the vesselwall show mild fatty change of liver cells?,no
image3026,Does the peripheral zone show mild fatty change of liver cells?,yes
image3026,What does the peripheral zone show?,mild fatty change of liver cells
